NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Gender,Age,Phases,Enrollment,Study Type,URL
NCT04456452,Study of Ampion for the Treatment of Adult COVID-19 Patients Requiring Oxygen Supplementation,,Completed,No Results Available,COVID-19,Biological: Ampion|Other: Standard of Care,All,"18 Years to 89 Years   (Adult, Older Adult)",Phase 1,10,Interventional,https://ClinicalTrials.gov/show/NCT04456452
NCT04331795,"Tocilizumab to Prevent Clinical Decompensation in Hospitalized, Non-critically Ill Patients With COVID-19 Pneumonitis",COVIDOSE,Completed,No Results Available,COVID-19,Drug: Tocilizumab,All,"18 Years and older   (Adult, Older Adult)",Phase 2,32,Interventional,https://ClinicalTrials.gov/show/NCT04331795
NCT04333225,Hydroxychloroquine in the Prevention of COVID-19 Infection in Healthcare Workers,,Completed,No Results Available,COVID-19,Drug: Hydroxychloroquine,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 2,228,Interventional,https://ClinicalTrials.gov/show/NCT04333225
NCT04347954,PVP-I Nasal Sprays and SARS-CoV-2 Nasopharyngeal Titers (for COVID-19),,Completed,No Results Available,COVID-19,Drug: Povidone-Iodine 2%|Drug: Povidone-Iodine 0.5%|Drug: Isotonic saline 0.9%,All,"18 Years and older   (Adult, Older Adult)",Phase 2,40,Interventional,https://ClinicalTrials.gov/show/NCT04347954
NCT04452617,Safety of Short-term Hydroxychloroquine Plus Azithromycin Treatment in Critically Ill Patients With Severe COVID-19,,Completed,No Results Available,COVID-19,,All,"18 Years and older   (Adult, Older Adult)",,40,Observational,https://ClinicalTrials.gov/show/NCT04452617
NCT04583982,ImmuneSense™ COVID-19 Study,,Completed,No Results Available,Coronavirus Disease (COVID-19)|SARS-CoV-2 Infection,Other: T-Detect™ SARS-CoV-2 Assay,All,"18 Years to 89 Years   (Adult, Older Adult)",,180,Observational,https://ClinicalTrials.gov/show/NCT04583982
NCT04380779,Prevalence of Severe Bleeding in COVID-19 Patients Treated With Higher Than Recommended Thromboprophylaxis Doses,BLEEDING,Completed,No Results Available,COVID-19,,All,"Child, Adult, Older Adult",,2430,Observational,https://ClinicalTrials.gov/show/NCT04380779
NCT04486313,Trial to Evaluate Efficacy and Safety of Nitazoxanide in the Treatment of Mild or Moderate COVID-19,,Completed,No Results Available,COVID-19,Drug: Nitazoxanide|Drug: Placebo|Dietary Supplement: Vitamin Super B-Complex,All,"12 Years to 120 Years   (Child, Adult, Older Adult)",Phase 3,1092,Interventional,https://ClinicalTrials.gov/show/NCT04486313
NCT04405843,Efficacy of Ivermectin in Adult Patients With Early Stages of COVID-19 (EPIC Trial),EPIC,Completed,No Results Available,COVID-19,Drug: Ivermectin Oral Product|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 3,476,Interventional,https://ClinicalTrials.gov/show/NCT04405843
NCT04365634,A Single-center Retrospective Study to Find Prediction Factors Related to Mortality of COVID-19 Patients.,,Completed,No Results Available,COVID-19,,All,"Child, Adult, Older Adult",,306,Observational,https://ClinicalTrials.gov/show/NCT04365634
NCT04355507,Computed Tomography for COVID-19 Diagnosis,STOIC,Completed,No Results Available,COVID-19,Diagnostic Test: Chest computed tomography (CT)|Diagnostic Test: Reverse-transcription polymerase chain reaction (RT-PCR),All,"18 Years and older   (Adult, Older Adult)",,10735,Observational,https://ClinicalTrials.gov/show/NCT04355507
NCT04397562,A Clinical Trial of the Efficacy and Safety of Levilimab (BCD-089) in Patients With Severe COVID-19,CORONA,Completed,No Results Available,COVID-19,Drug: Levilimab|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 3,206,Interventional,https://ClinicalTrials.gov/show/NCT04397562
NCT04400461,Short-term Physical Function Outcomes in Severe COVID-19 Patients Admitted to ICU for Invasive Mechanical Ventilation,,Completed,No Results Available,COVID-19,Other: Data collection and clinical testing of subjects,All,"18 Years to 80 Years   (Adult, Older Adult)",,71,Observational,https://ClinicalTrials.gov/show/NCT04400461
NCT04433910,A Clinical Trial of Convalescent Plasma Compared to Best Supportive Care for Treatment of Patients With Severe COVID-19,CAPSID,Completed,No Results Available,COVID-19,Drug: Convalesscent Plasma,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 2,106,Interventional,https://ClinicalTrials.gov/show/NCT04433910
NCT04411628,A Study of LY3819253 (LY-CoV555) in Participants Hospitalized for COVID-19,,Completed,No Results Available,COVID-19,Drug: LY3819253|Drug: Placebo,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 1,24,Interventional,https://ClinicalTrials.gov/show/NCT04411628
NCT04331899,Single-Blind Study of a Single Dose of Peginterferon Lambda-1a Compared With Placebo in Outpatients With Mild COVID-19,COVID-Lambda,Completed,Has Results,COVID-19,Drug: Peginterferon Lambda-1a|Other: Placebo,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 2,120,Interventional,https://ClinicalTrials.gov/show/NCT04331899
NCT04623021,A Study Evaluating the Efficacy and Safety of CKD-314 (Nafabelltan) in Hospitalized Adult Patients Diagnosed With COVID-19 Pneumonia,,Completed,No Results Available,COVID-19,Drug: Nafamostat Mesilate,All,"18 Years and older   (Adult, Older Adult)",Phase 2,104,Interventional,https://ClinicalTrials.gov/show/NCT04623021
NCT04331834,Pre-Exposure Prophylaxis With Hydroxychloroquine for High-Risk Healthcare Workers During the COVID-19 Pandemic,PrEP_COVID,Completed,No Results Available,COVID-19,Drug: Hydroxychloroquine|Drug: Placebos,All,"18 Years and older   (Adult, Older Adult)",Phase 3,275,Interventional,https://ClinicalTrials.gov/show/NCT04331834
NCT04848610,The Factors That Affect the Infection of COVID-19,,Completed,No Results Available,COVID-19 Infection,,All,"18 Years and older   (Adult, Older Adult)",,1104,Observational,https://ClinicalTrials.gov/show/NCT04848610
NCT04292899,Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),,Completed,Has Results,COVID-19,Drug: Remdesivir|Drug: Standard of Care,All,"12 Years and older   (Child, Adult, Older Adult)",Phase 3,4891,Interventional,https://ClinicalTrials.gov/show/NCT04292899
NCT04370782,Hydroxychloroquine and Zinc With Either Azithromycin or Doxycycline for Treatment of COVID-19 in Outpatient Setting,,Completed,No Results Available,COVID-19,Drug: Hydroxychloroquine|Drug: Azithromycin|Drug: Zinc Sulfate|Drug: Doxycycline,All,"30 Years and older   (Adult, Older Adult)",Phase 4,18,Interventional,https://ClinicalTrials.gov/show/NCT04370782
NCT04539262,"Study in Participants With Early Stage Coronavirus Disease 2019 (COVID-19) to Evaluate the Safety, Efficacy, and Pharmacokinetics of Remdesivir Administered by Inhalation",,Completed,No Results Available,COVID-19,Drug: Remdesivir (RDV)|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 2,156,Interventional,https://ClinicalTrials.gov/show/NCT04539262
NCT04377711,A Study of the Safety and Efficacy of Ciclesonide in the Treatment of Non-hospitalized COVID-19 Patients,,Completed,No Results Available,COVID-19,Drug: Ciclesonide|Drug: Placebo,All,"12 Years to 100 Years   (Child, Adult, Older Adult)",Phase 3,400,Interventional,https://ClinicalTrials.gov/show/NCT04377711
NCT04343989,A Randomized Placebo-controlled Safety and Dose-finding Study for the Use of the IL-6 Inhibitor Clazakizumab in Patients With Life-threatening COVID-19 Infection,,Completed,No Results Available,COVID-19,Drug: Clazakizumab 25 mg|Drug: Clazakizumab 12.5 mg|Other: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 2,180,Interventional,https://ClinicalTrials.gov/show/NCT04343989
NCT04292730,Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,,Completed,Has Results,COVID-19,Drug: Remdesivir|Drug: Standard of Care,All,"12 Years and older   (Child, Adult, Older Adult)",Phase 3,1113,Interventional,https://ClinicalTrials.gov/show/NCT04292730
NCT04542967,Study on the Safety and Efficacy of Convalescent Plasma in Patients With Severe COVID-19 Disease,PC-COVID-HCM,Completed,No Results Available,Severe COVID-19 Disease,Biological: Biological,All,"18 Years to 90 Years   (Adult, Older Adult)",Phase 2,150,Interventional,https://ClinicalTrials.gov/show/NCT04542967
NCT04473170,Study Evaluating the Safety and Efficacy of Autologous Non-Hematopoietic Peripheral Blood Stem Cells in COVID-19,SENTAD-COVID,Completed,No Results Available,Coronavirus Disease 2019 (COVID-19),Biological: Autologous Non-Hematopoietic Peripheral Blood Stem Cells (NHPBSC)|Drug: COVID-19 standard care,All,"18 Years and older   (Adult, Older Adult)",Phase 2,146,Interventional,https://ClinicalTrials.gov/show/NCT04473170
NCT04395391,Home Usability Study of the SARS-CoV-2 (COVID-19) Test,,Completed,No Results Available,COVID-19,Diagnostic Test: SARS-CoV-2,All,"18 Years and older   (Adult, Older Adult)",,30,Observational,https://ClinicalTrials.gov/show/NCT04395391
NCT04371965,"Povidone Iodine Mouthwash, Gargle, and Nasal Spray to Reduce Naso- Pharyngeal Viral Load in Patients With COVID-19",KILLER,Completed,No Results Available,COVID-19,Drug: Povidone-Iodine,All,"18 Years and older   (Adult, Older Adult)",Phase 2,24,Interventional,https://ClinicalTrials.gov/show/NCT04371965
NCT04381962,A Multicentre Open-label Two-arm Randomised Superiority Clinical Trial of Azithromycin Versus Usual Care In Ambulatory COVID19 (ATOMIC2),ATOMIC2,Completed,No Results Available,COVID-19,Drug: Azithromycin Capsule,All,"19 Years and older   (Adult, Older Adult)",Phase 3,298,Interventional,https://ClinicalTrials.gov/show/NCT04381962
NCT04871633,Effectiveness of Remedesvir in COVID-19 Patients Presenting at Mayo Hospital Lahore,,Completed,No Results Available,COVID-19,Drug: Remdesivir|Drug: Conventional,All,"12 Years and older   (Child, Adult, Older Adult)",Not Applicable,66,Interventional,https://ClinicalTrials.gov/show/NCT04871633
NCT04353596,Stopping ACE-inhibitors in COVID-19,ACEI-COVID,Completed,No Results Available,SARS-CoV-2|COVID-19,"Drug: ACE inhibitor, angiotensin receptor blocker",All,"18 Years and older   (Adult, Older Adult)",Phase 4,216,Interventional,https://ClinicalTrials.gov/show/NCT04353596
NCT04537117,"Knowledge, Attitudes and Clinical Practices of Pediatric Dentists Regarding Covid-19",,Completed,No Results Available,COVID-19,Other: Questionaire,All,"Child, Adult, Older Adult",,202,Observational,https://ClinicalTrials.gov/show/NCT04537117
NCT04444531,Ozone Therapy and Coronavirus Disease of 2019 (COVID-19) Pneumonia,,Completed,No Results Available,COVID-19 Pneumonia,,,"Child, Adult, Older Adult",,18,Observational,https://ClinicalTrials.gov/show/NCT04444531
NCT04534790,Anti-inflammatory Effect of Low-Dose Whole-Lung Radiation for COVID-19 Pneumonia,,Completed,No Results Available,COVID-19 Pneumonia,Radiation: Low Dose Radiotherapy,All,"18 Years to 100 Years   (Adult, Older Adult)",Not Applicable,30,Interventional,https://ClinicalTrials.gov/show/NCT04534790
NCT04568655,The Noninvasive Ventilation to COVID-19 Patients,,Completed,No Results Available,Noninvavie Ventilation to Patients With COVID-19,Device: noninvasive ventilation,All,"20 Years to 80 Years   (Adult, Older Adult)",,23,Observational,https://ClinicalTrials.gov/show/NCT04568655
NCT04521010,Staff Absenteeism and Delivery of Healthcare Services During the COVID-19 Pandemic,,Completed,No Results Available,COVID-19 Pandemic,Other: COVID-19 pandemic,All,"Child, Adult, Older Adult",,700,Observational,https://ClinicalTrials.gov/show/NCT04521010
NCT04381858,Convalescent Plasma vs Human Immunoglobulin to Treat COVID-19 Pneumonia,,Completed,No Results Available,COVID-19 Pneumonia,Drug: Plasma from COVID-19 convalescent patient|Drug: Human immunoglobulin,All,"16 Years to 90 Years   (Child, Adult, Older Adult)",Phase 3,196,Interventional,https://ClinicalTrials.gov/show/NCT04381858
NCT04357535,Prognosis of Coronavirus Disease 2019 (COVID-19) Patients Receiving Receiving Antihypertensives,,Completed,No Results Available,COVID-19,Drug: Angiotensin-Converting Enzyme Inhibitors (ACE-I) and Angiotensin II Receptor Blockers (ARB),All,"18 Years and older   (Adult, Older Adult)",,314,Observational,https://ClinicalTrials.gov/show/NCT04357535
NCT04244591,Glucocorticoid Therapy for COVID-19 Critically Ill Patients With Severe Acute Respiratory Failure,,Completed,No Results Available,COVID-19 Infections,Drug: methylprednisolone therapy|Other: Standard care,All,"18 Years and older   (Adult, Older Adult)",Phase 3,80,Interventional,https://ClinicalTrials.gov/show/NCT04244591
NCT04713878,Mesenchymal Stem Cells Therapy in Patients With COVID-19 Pneumonia,,Completed,No Results Available,Coronavirus Disease 2019 (COVID-19) Pneumonia,Other: Mesenchymal stem cells,All,"18 Years to 90 Years   (Adult, Older Adult)",Not Applicable,21,Interventional,https://ClinicalTrials.gov/show/NCT04713878
NCT04320615,A Study to Evaluate the Safety and Efficacy of Tocilizumab in Patients With Severe COVID-19 Pneumonia,COVACTA,Completed,No Results Available,COVID-19 Pneumonia,Drug: Tocilizumab (TCZ)|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 3,450,Interventional,https://ClinicalTrials.gov/show/NCT04320615
NCT04407130,Efficacy and Safety of Ivermectin and Doxycycline in Combination or IVE Alone in Patients With COVID-19 Infection.,,Completed,No Results Available,COVID-19 Patients,Drug: Ivermectin + Doxycycline + Placebo|Drug: Ivermectin + Placebo|Drug: Placebo,All,"40 Years to 65 Years   (Adult, Older Adult)",Phase 2,72,Interventional,https://ClinicalTrials.gov/show/NCT04407130
NCT04386616,A Study to Evaluate the Safety and Efficacy of MSTT1041A (Astegolimab) or UTTR1147A in Patients With Severe COVID-19 Pneumonia,COVASTIL,Completed,No Results Available,COVID-19 Pneumonia,Drug: MSTT1041A|Drug: MSTT1041A-matched Placebo|Drug: UTTR1147A|Drug: UTTR1147A-matched Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 2,410,Interventional,https://ClinicalTrials.gov/show/NCT04386616
NCT04363736,A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia,MARIPOSA,Completed,No Results Available,COVID-19 Pneumonia,Drug: Tociliuzumab,All,"18 Years and older   (Adult, Older Adult)",Phase 2,100,Interventional,https://ClinicalTrials.gov/show/NCT04363736
NCT04409262,A Study to Evaluate the Efficacy and Safety of Remdesivir Plus Tocilizumab Compared With Remdesivir Plus Placebo in Hospitalized Participants With Severe COVID-19 Pneumonia,REMDACTA,Completed,No Results Available,COVID-19 Pneumonia,Drug: Remdesivir|Drug: Tocilizumab|Drug: Placebo,All,"12 Years and older   (Child, Adult, Older Adult)",Phase 3,649,Interventional,https://ClinicalTrials.gov/show/NCT04409262
NCT04374032,Clinical Trial to Evaluate the Efficacy and Safety of an Immunomodulatory Therapy for the Treatment of Patients With Moderate to Severe COVID-19 Infection,,Completed,No Results Available,COVID-19 Infection,Drug: metenkefalin + tridecactide|Drug: The standard of care,All,"18 Years and older   (Adult, Older Adult)",Phase 3,120,Interventional,https://ClinicalTrials.gov/show/NCT04374032
NCT04589117,Expressive Writing for COVID-19 Resilience for Parents,,Completed,No Results Available,Parents During COVID-19,Behavioral: Expressive writing,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,11,Interventional,https://ClinicalTrials.gov/show/NCT04589117
NCT04816084,SERUR: COVID-19 Serological Survey of Staff From the University Reims-Champagne Ardennes,SERUR,Completed,No Results Available,Covid19,Diagnostic Test: Anti-SARS-CoV2 Serology,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,389,Interventional,https://ClinicalTrials.gov/show/NCT04816084
NCT04476888,Convalescent Plasma Treatment in COVID-19,COLLATE,Completed,No Results Available,Covid19,Biological: Convalescent Plasma (CP)|Other: Drugs and supportive care,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,110,Interventional,https://ClinicalTrials.gov/show/NCT04476888
NCT04371744,QT-Logs : Artificial Intelligence for QT Interval Analysis of ECG From Smartwatches in Patient Receiving Treatment for Covid-19,QT-Logs,Completed,No Results Available,COVID-19,,All,"18 Years and older   (Adult, Older Adult)",,100,Observational,https://ClinicalTrials.gov/show/NCT04371744
