Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Completion Date,Start Date,Trial Duration,Primary Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
24,NCT04382066,Proof of Concept Study to Evaluate the Safety Profile of Plitidepsin in Patients With COVID-19,APLICOV-PC,Completed,No Results Available,COVID-19,Drug: Plitidepsin 1.5 mg/day|Drug: Plitidepsin 2.0 mg/day|Drug: Plitidepsin 2.5 mg/day,Frequency of occurrence of Neutropenia â‰¥ grade 3|Frequency of occurrence of Thrombocytopenia â‰¥ grade 3|Frequency of occurrence of Anemia â‰¥ grade 3|Frequency of occurrence of Lymphopenia â‰¥ grade 3|Frequency of occurrence of CPK increase â‰¥ grade 3|Frequency of occurrence of Increase ALT and / or AST â‰¥ grade 3|Frequency of occurrence of Increase total bilirubin or direct bilirubin â‰¥ grade 3|Frequency of occurrence of Neurotoxicity â‰¥ grade 3|Frequency of occurrence of QT-QTc interval extension â‰¥ grade 3|Frequency of occurrence of Other adverse events â‰¥ grade 3|Percentage of patients in whom treatment cannot be completed.|Percentage of patients with adverse events.|Percentage of patients with serious adverse events.|Percentage of patients with ECG abnormalities.|Change in the viral load of SARS-CoV-2|Time to negative PCR test for COVID-19|Mortality|Percentage of patients requiring invasive mechanical ventilation and / or ICU admission|Percentage of patients requiring non-invasive mechanical ventilation|Percentage of patients requiring oxygen therapy,PharmaMar|Apices Soluciones S.L.,All,"18 Years and older Â  (Adult, Older Adult)",Phase 1,46,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,APL-D-002-20|2020-001993-31,23-Dec-20,12-May-20,225,23-Dec-20,11-May-20,,28-Dec-20,"Hospital Universitario Hm MonteprÃ­ncipe, Boadilla Del Monte, Madrid, Spain|Hospital Germans Trias i Pujol, Badalona, Spain|Hospital ClÃ­nic de Barcelona, Barcelona, Spain|Hospital de la Santa Creu i Sant Pau, Barcelona, Spain|Hospital Ciudad Real, Ciudad Real, Spain|Hospital Universitario de Getafe, Getafe, Spain|Hospital Universitario de Guadalajara, Guadalajara, Spain|Hospital Universitari Arnau de Vilanova, Lleida, Spain|Hospital La Princesa, Madrid, Spain|Hospital Gregorio MaraÃ±Ã³n, Madrid, Spain|Hospital RamÃ³n Y Cajal, Madrid, Spain|Hospital ClÃ­nico San Carlos, Madrid, Spain|Hosptial Quironsalud Madrid, Madrid, Spain",,https://ClinicalTrials.gov/show/NCT04382066
25,NCT04382092,Co-infection Management in COVID-19 Critically Ill,,Completed,No Results Available,COVID-19,Diagnostic Test: FilmArray Pneumonia,% of COVID-19 co-infections|% of antibiotic switches following FA results,Cliniques universitaires Saint-Luc- UniversitÃ© Catholique de Louvain|BioMÃ©rieux,All,"18 Years and older Â  (Adult, Older Adult)",Not Applicable,32,Other|Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic,2019/14MAR/124,24-Apr-20,23-Mar-20,32,24-Apr-20,11-May-20,,11-May-20,"Cliniques Universitaires Saint-Luc, Brussels, Belgium",,https://ClinicalTrials.gov/show/NCT04382092
26,NCT04352582,COVID-19 and Vaccination Attitudes,VACAT,Completed,No Results Available,COVID-19,Other: Survey,How vaccination and other attitudes are affected by COVID,"University Hospital, Geneva|University of Zurich|University of Lausanne",All,"Child, Adult, Older Adult",,1194,Other,Observational,Observational Model: Other|Time Perspective: Prospective,VACAT,30-Apr-20,14-Apr-20,16,30-Apr-20,20-Apr-20,,13-Nov-20,"Survey, London, United Kingdom",,https://ClinicalTrials.gov/show/NCT04352582
27,NCT04370808,VITACOV: Vitamin D Polymorphisms and Severity of COVID-19 Infection,VITACOV,Completed,No Results Available,COVID-19,Other: Exposure,Differences in vitamin D blood levels between COVID-19 patients with different degrees of disease severity.|Differences in genetic variants in vitamin D-related genes between COVID-19 patients with different degrees of disease severity.|Differences in vitamin D blood levels between COVID-19 patients in relation to mortality.|Differences in vitamin D blood levels between COVID-19 patients in relation to length of stay in hospitals.|Differences in vitamin D blood levels between COVID-19 patients in relation to duration of mechanical ventilation.|Differences in genetic variants in vitamin D-related genes between COVID-19 patients in relation to mortality.|Differences in genetic variants in vitamin D-related genes between COVID-19 patients in relation to length of stay in hospitals.|Differences in genetic variants in vitamin D-related genes between COVID-19 patients in relation to duration of mechanical ventilation.,"University of Lisbon|Cardiovascular Centre of Universidade de Lisboa (CCUL)|Faculty of Medicine of Universidade de Lisboa (FMUL)|Centro Hospitalar UniversitÃ¡rio Lisboa Norte (CHULN)|Centro Hospitalar UniversitÃ¡rio SÃ£o JoÃ£o (CHUSJ)|CINTESIS - Center for Health Technology and Services Research|NOVA Medical School of Universidade NOVA de Lisboa|HeartGenetics, Genetics and Biotechnology SA|Instituto Gulbenkian de CiÃªncia (IGC)",All,"18 Years and older Â  (Adult, Older Adult)",,517,Other|Industry,Observational,Observational Model: Case-Only|Time Perspective: Prospective,VITACOV,31-Jan-21,1-Aug-20,183,1-Jan-21,1-May-20,,28-Apr-21,"Cardiovascular Center at Universidade de Lisboa, Lisbon, Lisboa, Portugal|Centro Hospitalar UniversitÃ¡rio Lisboa Norte, Lisbon, Lisboa, Portugal|Centro Hospitalar de SÃ£o JoÃ£o, Oporto, Portugal",,https://ClinicalTrials.gov/show/NCT04370808
28,NCT04832061,Respiratory Supports and COVID-19 Mortality,,Completed,No Results Available,COVID-19,Other: Respiratory supports,rate of in-hospital mortality|rate of escalation from non-invasive ventilation to invasive mechanical ventilation,Yale University,All,"18 Years and older Â  (Adult, Older Adult)",,2300,Other,Observational,Observational Model: Cohort|Time Perspective: Retrospective,2000028070,20-Apr-21,1-Apr-21,19,20-Apr-21,5-Apr-21,,13-May-21,"Yale University School of Medicine, New Haven, Connecticut, United States",,https://ClinicalTrials.gov/show/NCT04832061
29,NCT04344145,Exhaustion and Needs in Frontline COVID-19 Healthcare Workers: Cross-sectional Study in a Belgian Population,,Completed,No Results Available,COVID-19,,Burnout|Emotional Distress|Insomnia|Needs and difficulties in work situations,UniversitÃ© Libre de Bruxelles,All,"18 Years and older Â  (Adult, Older Adult)",,693,Other,Observational,Observational Model: Case-Control|Time Perspective: Cross-Sectional,PSY-ENCOVID19,29-May-20,16-Apr-20,43,25-May-20,14-Apr-20,,9-Sep-20,"HÃ´pital de Warquignies, Boussu, Hainaut, Belgium|HÃ´pital de Jolimont, Haine-Saint-Paul, Hainaut, Belgium|HÃ´pital de Lobbes, Lobbes, Hainaut, Belgium|HÃ´pital de Mons, Mons, Hainaut, Belgium|Erasme Hospital CUB, Brussels, Belgium",,https://ClinicalTrials.gov/show/NCT04344145
30,NCT04343768,"An Investigation Into Beneficial Effects of Interferon Beta 1a, Compared to Interferon Beta 1b And The Base Therapeutic Regiment in Moderate to Severe COVID-19: A Randomized Clinical Trial",COVIFERON,Completed,No Results Available,COVID-19,Drug: Hydroxychloroquine|Drug: Lopinavir / Ritonavir|Drug: Interferon Beta-1A|Drug: Interferon Beta-1B,Time to clinical improvement|Mortality|SpO2 Improvement|Incidence of new mechanical ventilation use|Duration of hospitalization,Shahid Beheshti University of Medical Sciences,All,"18 Years and older Â  (Adult, Older Adult)",Phase 2,60,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Different Interferons in COVID,27-Apr-20,9-Apr-20,18,27-Apr-20,13-Apr-20,,5-May-20,"Loghman Hakim Hospital, Shahid Beheshti University of Medical Sciences and Health Services, Tehran, Iran, Islamic Republic of",,https://ClinicalTrials.gov/show/NCT04343768
31,NCT04344015,COVID-19 Plasma Collection,,Completed,No Results Available,COVID-19,Other: Plasma Donation,Number of patients who screen eligible for donation|Number of patients who consent to plasma donation|Number of plasma donations received|Safety of donation procedures,Thomas Jefferson University,All,"18 Years and older Â  (Adult, Older Adult)",Not Applicable,206,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other,20D.346,2-Jun-20,13-Apr-20,50,2-Jun-20,14-Apr-20,,10-May-21,"Thomas Jefferson University Hospital, Philadelphia, Pennsylvania, United States",,https://ClinicalTrials.gov/show/NCT04344015
32,NCT04391712,Photobiomodulation Laser Therapy for COVID-19 Positive Patients With Pulmonary Disease,,Completed,No Results Available,COVID-19,Device: MLS Laser|Other: Regular Inpatient Medical Care,Patient Disposition Post treatment|oxygenation|IL-6 levels|Chest Xray radiographic results|Brescia-COVID Respiratory Severity Scale|SMART-COP Score|PSI Score|CRP levels,Lowell General Hospital,All,"18 Years to 90 Years Â  (Adult, Older Adult)",Phase 2,10,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2020.01,16-Jul-20,30-Apr-20,77,15-May-20,18-May-20,,5-Aug-20,"Lowell General Hospital, Lowell, Massachusetts, United States",,https://ClinicalTrials.gov/show/NCT04391712
33,NCT04432324,Study to Evaluate the Safety and Efficacy of High Dose IVIG in Hospitalized Participants With Coronavirus Disease (COVID-19),,Completed,No Results Available,COVID-19,Biological: Intravenous Immune Globulin|Drug: Standard Medical Treatment,Percentage of Participants Dying or Requiring ICU Admission|Percentage of Participants Who are Dependent on High Flow Oxygen Devices or Invasive Mechanical Ventilation|Change from Baseline in National Early Warning Score (NEWS)|Time to Clinical Response as Assessed by: NEWS â‰¤ 2 Maintained for 24 hours|Time to Hospital Discharge|Duration of ICU Stay|Duration of Any Oxygen Use|Duration of Mechanical Ventilation|Mean Change from Baseline in Ordinal Scale|Absolute Value Change from Baseline in Ordinal Scale|Length of Time to Clinical Progression|Percentage of Participants in Each Severity Category of the 7-point Ordinal Scale|Time to Sustained Normalization of Temperature|Percentage of Participants with Normalization of Fever|Number of Participants who Develop Acute Respiratory Distress Syndrome (ARDS),"Instituto Grifols, S.A.|Grifols Therapeutics LLC",All,"18 Years and older Â  (Adult, Older Adult)",Phase 2,100,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,GC2004|2020-001696-32,3-Mar-21,2-Jun-20,274,3-Mar-21,16-Jun-20,,10-Mar-21,"Hospital Universitario Infanta SofÃ­a, San SebastiÃ¡n De Los Reyes, Madrid, Spain|Hospital Germans Trias i Pujol, Badalona, Spain|Hospital Del Mar, Barcelona, Spain|Hospital Universitari Vall d'Hebron, Barcelona, Spain|Hospital Universitari de Bellvitge, Barcelona, Spain|Hospital de la Santa Creu i Sant Pau, Barcelona, Spain|Hospital Universitario de Getafe, Getafe, Spain|Hospital Arnau de Vilanova, Lleida, Spain|Hospital General Universitario Gregorio MaraÃ±Ã³n, Madrid, Spain|Hospital Clinico San Carlos, Madrid, Spain",,https://ClinicalTrials.gov/show/NCT04432324
34,NCT04542694,Study of Favipiravir Compared to Standard of Care in Hospitalized Patients With COVID-19,,Completed,Has Results,COVID-19,Drug: Favipiravir|Drug: Standard of care,Rate of Clinical Status Improvement|Time to Clinical Improvement|Rate of Viral Elimination by Day 10|Time Before the End of Fever|Change in the Level of Lung Damage According to CT|Rate of Transfer to the Intensive Care Unit|Rate of the Use of Non-invasive Lung Ventilation|Rate of the Use of Mechanical Ventilation|Mortality,"Promomed, LLC",All,"18 Years to 80 Years Â  (Adult, Older Adult)",Phase 3,200,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,FAV052020,20-Aug-20,21-May-20,91,10-Aug-20,9-Sep-20,5-Nov-20,5-Nov-20,"State Clinical Hospital â„–50, Moscow, Russian Federation|Regional Clinic Hospital of Ryazan, Ryazan', Russian Federation|City Hospital N40 of Kurortny District, Saint Petersburg, Russian Federation|Medical institute Ogarev Mordovia State university, Saransk, Russian Federation|Smolensk clinical hospital â„–1, Smolensk, Russian Federation","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/94/NCT04542694/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT04542694
35,NCT04492475,Adaptive COVID-19 Treatment Trial 3 (ACTT-3),,Completed,No Results Available,COVID-19,Drug: Interferon beta-1a|Other: Placebo|Drug: Remdesivir,"Time to recovery for patients with baseline ordinal score 4, 5, and 6|Change from baseline in alanine aminotransferase (ALT)|Change from baseline in aspartate aminotransferase (AST)|Change from baseline in C-reactive protein (CRP)|Change from baseline in creatinine|Change from baseline in d-dimer concentration|Change from baseline in hemoglobin|Change from baseline in international normalized ratio (INR)|Change from baseline in platelets|Change from baseline in total bilirubin|Change from baseline in white blood cell count (WBC) with differential|Change in National Early Warning Score (NEWS) from baseline|Cumulative incidence of Grade 3 and 4 clinical and/or laboratory adverse events (AEs)|Cumulative incidence of serious adverse events (SAEs)|Duration of hospitalization|Duration of invasive mechanical ventilation|Duration of new non-invasive ventilation or high flow oxygen use|Duration of new oxygen use|Duration of new ventilator or extracorporeal membrane oxygenation (ECMO) use|Duration of non invasive ventilation or high flow oxygen use|Duration of oxygen use|Incidence of discontinuation or temporary suspension of study product administration|Incidence of new non-invasive ventilation or high flow oxygen use|Incidence of new oxygen use|Incidence of new ventilator or extracorporeal membrane oxygenation (ECMO) use|Mean change from baseline in the ordinal scale|Participant's clinical status at Day 15 by ordinal scale for patients with baseline ordinal score 4 and 5|Percentage of subjects reporting each severity rating on an 8 point ordinal scale|Subject 14-day mortality|Subject 28-day mortality|Time to an improvement of one category using an ordinal scale|Time to an improvement of two categories using an ordinal scale|Time to discharge or to a National Early Warning Score (NEWS) of </= 2 and maintained for 24 hours, whichever occurs first|Time to recovery for patients with a baseline ordinal score of 4 and 5",National Institute of Allergy and Infectious Diseases (NIAID),All,"18 Years to 99 Years Â  (Adult, Older Adult)",Phase 3,969,NIH,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",20-0006 ACTT-3,21-Dec-20,5-Aug-20,138,21-Dec-20,30-Jul-20,,9-Feb-21,"University of Alabama at Birmingham School of Medicine - Infectious Disease, Birmingham, Alabama, United States|UCSF Fresno Center for Medical Education and Research - Clinical Research Center, Fresno, California, United States|University of California San Diego Health - Jacobs Medical Center, La Jolla, California, United States|University of California Los Angeles Medical Center - Westwood Clinic, Los Angeles, California, United States|University of California Irvine Medical Center - Infectious Disease, Orange, California, United States|VA Palo Alto Health Care System - Infectious Diseases, Palo Alto, California, United States|Stanford University - Stanford Hospital and Clinics - Pediatrics - Infectious Diseases, Palo Alto, California, United States|University of California Davis Medical Center - Internal Medicine - Infectious Disease, Sacramento, California, United States|Naval Medical Center San Diego - Infectious Disease Clinic, San Diego, California, United States|University of California San Francisco - Zuckerberg San Francisco General Hospital - Division of HIV, ID, and Global Medicine, San Francisco, California, United States|Cedars Sinai Medical Center, West Hollywood, California, United States|Eastern Colorado Health Care System, Aurora, Colorado, United States|Denver Health Division of Hospital Medicine - Main Campus, Denver, Colorado, United States|University of Florida Health - Shands Hospital - Division of Infectious Diseases and Global Medicine, Gainesville, Florida, United States|University of Florida Health - Jacksonville - Department of Emergency Medicine, Jacksonville, Florida, United States|University of Miami Miller School of Medicine - Infectious Diseases, Miami, Florida, United States|Emory Vaccine Center - The Hope Clinic, Decatur, Georgia, United States|Atlanta VA Medical Center - Infectious Diseases Clinic, Decatur, Georgia, United States|Tripler Army Medical Center (TAMC), Honolulu, Hawaii, United States|Northwestern Hospital - Infectious Disease, Chicago, Illinois, United States|University of Illinois at Chicago Division of Infectious Diseases, Chicago, Illinois, United States|University of Iowa Hospitals & Clinics - Department of Internal Medicine, Iowa City, Iowa, United States|Ochsner Medical Center - Kenner - Department of Infectious Diseases, Kenner, Louisiana, United States|Southeast Louisiana Veterans Health Care System - Section of Infectious Diseases, New Orleans, Louisiana, United States|University of Maryland School of Medicine - Center for Vaccine Development - Baltimore, Baltimore, Maryland, United States|Johns Hopkins Hospital - Medicine - Infectious Diseases, Baltimore, Maryland, United States|Walter Reed National Military Medical Center, Bethesda, Maryland, United States|National Institutes of Health - Clinical Center, National Institute of Allergy and Infectious Diseases Laboratory Of Immunoregulation, Clinical Research Section, Bethesda, Maryland, United States|Massachusetts General Hospital - Infectious Diseases, Boston, Massachusetts, United States|University of Massachusetts Medical School - Infectious Diseases and Immunology, Worcester, Massachusetts, United States|University of Minnesota Medical Center, Fairview - Infectious Diseases and International Medicine, Minneapolis, Minnesota, United States|Saint Louis University - Center for Vaccine Development, Saint Louis, Missouri, United States|University of Nebraska Medical Center - Infectious Diseases, Omaha, Nebraska, United States|University of New Mexico Clinical and Translational Science Center, Albuquerque, New Mexico, United States|Montefiore Medical Center - Infectious Diseases, Bronx, New York, United States|New York University School of Medicine - Langone Medical Center - Microbiology - Parasitology, New York, New York, United States|University of Rochester Medical Center - Vaccine Research Unit, Rochester, New York, United States|Duke Human Vaccine Institute - Duke Vaccine and Trials Unit, Durham, North Carolina, United States|Womack Army Medical Center - Pulmonary and Respiratory Services, Fort Bragg, North Carolina, United States|Kaiser Permanente Northwest - Center for Health Research, Portland, Oregon, United States|Penn State Health Milton S. Hershey Medical Center - Division of Infectious Diseases, Hershey, Pennsylvania, United States|Hospital of the University of Pennsylvania - Infectious Diseases, Philadelphia, Pennsylvania, United States|Baylor Scott & White Health - Baylor University Medical Center - North Texas Infectious Disease Consultants, Dallas, Texas, United States|University of Texas Southwestern Medical Center - Internal Medicine - Infectious Diseases, Dallas, Texas, United States|Brooke Army Medical Center, Fort Sam Houston, Texas, United States|University of Texas Medical Branch - Division of Infectious Disease, Galveston, Texas, United States|Baylor College of Medicine - Molecular Virology and Microbiology, Houston, Texas, United States|Methodist Hospital - Houston, Houston, Texas, United States|University of Texas Health Science Center at San Antonio - Infectious Diseases, San Antonio, Texas, United States|University of Utah - Infectious Diseases, Salt Lake City, Utah, United States|University of Virginia - Acute Care Surgery, Charlottesville, Virginia, United States|Naval Medical Center Portsmouth - Infectious Disease Division, Portsmouth, Virginia, United States|EvergreenHealth Infectious Disease Service, Kirkland, Washington, United States|Providence Sacred Heart Medical Center, Spokane, Washington, United States|Madigan Army Medical Center - Infectious Disease Clinic, Tacoma, Washington, United States|National Center for Global Health and Medicine Hospital - Disease Control and Prevention Center, Tokyo, Japan|Seoul National University Bundang Hospital - Division of Infectious Diseases, Seongnam, Gyeonggi-do, Korea, Republic of|Seoul National University Hospital, Seoul, Jongno-gu, Korea, Republic of|Instituto Nacional de Enfermedades Respiratorias (INER) - Ismael CosÃ­o Villegas, Mexico City, Mexico|Instituto Nacional de Ciencias Medicas y NutriciÃ³n Salvador ZubirÃ¡n - Departamento de Infectologia, Mexico City, Mexico|National University Health System - Division of Infectious Diseases, Singapore, Singapore|National Centre for Infectious Diseases (NCID), Singapore, Singapore|Changi General Hospital - Clinical Trials and Research Unit (CTRU), Singapore, Singapore|Ng Teng Fong General Hospital - Infectious Disease Service, Singapore, Singapore","""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/75/NCT04492475/ICF_000.pdf",https://ClinicalTrials.gov/show/NCT04492475
